ï»¿web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
1554326248-886,https://twitter.com/search?l=&q=%23admissionscandal%20OR%20%23admissionsscandal%20OR%20%23admissionscam%20OR%20%23admissionsscam%20OR%20%23collegeadmissionscandal%20OR%20%23collegeadmissionsscandal%20OR%20%23collegeadmissionscam%20OR%20%23collegeadmissionsscam%20OR%20%23collegescandal%20OR%20%23collegescam%20since%3A2018-10-01%20until%3A2019-04-03&src=typd&lang=en,@Hobbie_VK,Hobbie Â _ŸŒ_Â _ŸŒ_Â _ŸŒ_ #VetsResistSquadron Â _ŸŒ_Â _ŸŒ_Â _ŸŒ_,Underrated take-away from the admissions indictments: Standardized tests are over-valued bullshit that actively harm marginalized students and are gamed by the wealthy to a point that makes them entirely useless as a metric of preparedness. #SAT #CollegeAdmissionsScandal #Testing,27,278,1.1K,1.55E+12,3/12/2019 13:03,/Hobbie_VK/status/1105864786192023552
1554326248-655,https://twitter.com/search?l=&q=%23admissionscandal%20OR%20%23admissionsscandal%20OR%20%23admissionscam%20OR%20%23admissionsscam%20OR%20%23collegeadmissionscandal%20OR%20%23collegeadmissionsscandal%20OR%20%23collegeadmissionscam%20OR%20%23collegeadmissionsscam%20OR%20%23collegescandal%20OR%20%23collegescam%20since%3A2018-10-01%20until%3A2019-04-03&src=typd&lang=en,@NextDoorRocks,George,"But of course, affirmative action is the problem  #CollegeAdmissionsScandal https://twitter.com/cnnbrk/status/1105498792160358401Â â€_",10,26,143,1.55E+12,3/12/2019 13:06,/NextDoorRocks/status/1110444926964125697
1554326248-794,https://twitter.com/search?l=&q=%23admissionscandal%20OR%20%23admissionsscandal%20OR%20%23admissionscam%20OR%20%23admissionsscam%20OR%20%23collegeadmissionscandal%20OR%20%23collegeadmissionsscandal%20OR%20%23collegeadmissionscam%20OR%20%23collegeadmissionsscam%20OR%20%23collegescandal%20OR%20%23collegescam%20since%3A2018-10-01%20until%3A2019-04-03&src=typd&lang=en,@KQEDForum,KQED Forum,"EXACTLY why as someone who hires staff, I could care less where you went to college. These students should be held accountable as well. 

College Admissions Scandal: Actresses, Business Leaders and Other Wealthy Parents Charged https://nyti.ms/2F8Km15Â  #CollegeAdmissionsScandal",9,27,144,1.55E+12,3/12/2019 13:07,/KQEDForum/status/1106240347821113344
1554326248-778,https://twitter.com/search?l=&q=%23admissionscandal%20OR%20%23admissionsscandal%20OR%20%23admissionscam%20OR%20%23admissionsscam%20OR%20%23collegeadmissionscandal%20OR%20%23collegeadmissionsscandal%20OR%20%23collegeadmissionscam%20OR%20%23collegeadmissionsscam%20OR%20%23collegescandal%20OR%20%23collegescam%20since%3A2018-10-01%20until%3A2019-04-03&src=typd&lang=en,@MADmagazine,MAD Magazine,"When you're already starting your kids at third base, there's no need to pay off the ump to let them steal home.

#CollegeAdmissionsScandal https://twitter.com/cmclymer/status/1105497721862086656Â â€_",44,254,1.4K,1.55E+12,3/12/2019 13:13,/MADmagazine/status/1106316436824195073
1554326248-703,https://twitter.com/search?l=&q=%23admissionscandal%20OR%20%23admissionsscandal%20OR%20%23admissionscam%20OR%20%23admissionsscam%20OR%20%23collegeadmissionscandal%20OR%20%23collegeadmissionsscandal%20OR%20%23collegeadmissionscam%20OR%20%23collegeadmissionsscam%20OR%20%23collegescandal%20OR%20%23collegescam%20since%3A2018-10-01%20until%3A2019-04-03&src=typd&lang=en,@noreallyhowcome,SanBernieDingDong,"I worked my butt off in high school, took AP & SAT prep classes, and graduated with a 4.3 GPA to gain acceptance to the college of my choice and to receive scholarships so I could afford it.

But for every rich kid, there is an Aunt Becky and Felicity Huffman. 

#collegescam",274,857,4.7K,1.55E+12,3/12/2019 13:23,/noreallyhowcome/status/1107651126210367489
1554326248-578,https://twitter.com/search?l=&q=%23admissionscandal%20OR%20%23admissionsscandal%20OR%20%23admissionscam%20OR%20%23admissionsscam%20OR%20%23collegeadmissionscandal%20OR%20%23collegeadmissionsscandal%20OR%20%23collegeadmissionscam%20OR%20%23collegeadmissionsscam%20OR%20%23collegescandal%20OR%20%23collegescam%20since%3A2018-10-01%20until%3A2019-04-03&src=typd&lang=en,@neiladammusic,Neil and Adam Music,I was at a mtg this morning and the Westside was gleefully abuzz with the #CollegeScam story.  Meanwhile all I could think about was the hardworking kids who studied their asses off & didnâ€™t have rich parents & werenâ€™t admitted into their dream schools because of this bullshit. pic.twitter.com/xSo8Lhxl7y,17,71,364,1.55E+12,3/12/2019 13:30,/neiladammusic/status/1111089188668092416
1554326248-792,https://twitter.com/search?l=&q=%23admissionscandal%20OR%20%23admissionsscandal%20OR%20%23admissionscam%20OR%20%23admissionsscam%20OR%20%23collegeadmissionscandal%20OR%20%23collegeadmissionsscandal%20OR%20%23collegeadmissionscam%20OR%20%23collegeadmissionsscam%20OR%20%23collegescandal%20OR%20%23collegescam%20since%3A2018-10-01%20until%3A2019-04-03&src=typd&lang=en,@bterrylong,Dean Bridget Long,Don Junior weighing in on the #CollegeAdmissionsScandal like heâ€™s not one of the beneficiaries of such corruption is just about ironic enough to cause instant mass extinction.,9,99,448,1.55E+12,3/12/2019 13:48,/bterrylong/status/1106257103075856384
1554326248-711,https://twitter.com/search?l=&q=%23admissionscandal%20OR%20%23admissionsscandal%20OR%20%23admissionscam%20OR%20%23admissionsscam%20OR%20%23collegeadmissionscandal%20OR%20%23collegeadmissionsscandal%20OR%20%23collegeadmissionscam%20OR%20%23collegeadmissionsscam%20OR%20%23collegescandal%20OR%20%23collegescam%20since%3A2018-10-01%20until%3A2019-04-03&src=typd&lang=en,@highcountrynews,High Country News,"NOW I understand how David Hogg got into Harvard 
#AdmissionsScam",279,2.8K,7.8K,1.55E+12,3/12/2019 13:50,/highcountrynews/status/1107461117364723712
1554326248-797,https://twitter.com/search?l=&q=%23admissionscandal%20OR%20%23admissionsscandal%20OR%20%23admissionscam%20OR%20%23admissionsscam%20OR%20%23collegeadmissionscandal%20OR%20%23collegeadmissionsscandal%20OR%20%23collegeadmissionscam%20OR%20%23collegeadmissionsscam%20OR%20%23collegescandal%20OR%20%23collegescam%20since%3A2018-10-01%20until%3A2019-04-03&src=typd&lang=en,@bctf,BCTF,"Part of me feels like I shouldnâ€™t criticize the students that benefited from the #CollegeAdmissionsScandal because they may not have known about the actions of their parents, & the other part of me can almost HEAR them saying, â€œMy parents didnâ€™t help me get in. I did it myself.â€ù",65,67,626,1.55E+12,3/12/2019 13:50,/bctf/status/1106233241575391232
1554326248-759,https://twitter.com/search?l=&q=%23admissionscandal%20OR%20%23admissionsscandal%20OR%20%23admissionscam%20OR%20%23admissionsscam%20OR%20%23collegeadmissionscandal%20OR%20%23collegeadmissionsscandal%20OR%20%23collegeadmissionscam%20OR%20%23collegeadmissionsscam%20OR%20%23collegescandal%20OR%20%23collegescam%20since%3A2018-10-01%20until%3A2019-04-03&src=typd&lang=en,@NeonNettle,Neon Nettle,"If your kid needs their college admission to be bought for them, they shouldn't be in college. PERIODT. #CollegeAdmissionsScandal https://nyti.ms/2F8Km15",5,38,197,1.55E+12,3/12/2019 14:00,/NeonNettle/status/1106571563250434052
1554326248-1086,https://twitter.com/search?l=&q=%23admissionscandal%20OR%20%23admissionsscandal%20OR%20%23admissionscam%20OR%20%23admissionsscam%20OR%20%23collegeadmissionscandal%20OR%20%23collegeadmissionsscandal%20OR%20%23collegeadmissionscam%20OR%20%23collegeadmissionsscam%20OR%20%23collegescandal%20OR%20%23collegescam%20since%3A2018-10-01%20until%3A2019-04-03&src=typd&lang=en,@DMAnews1,U.S. Attorney MA,"This #collegeadmissionsscandal reminds me of that time George W. Bush Daddy got him into Yale, then made him Governor of Texas, then President, which led to GWB starting a 100 year war that cost several thousand US Soldiers & Civilians lives.",23,149,504,1.55E+12,3/12/2019 14:06,/DMAnews1/status/1105493132240654337
