ï»¿web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
1554328476-3222,https://twitter.com/search?l=&q=%23georgetown%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@CC_Z28,Chris,Winston Cook @winstonc_music - Tattoos and Cigars on Reverbnation. http://www.reverbnation.com/open_graph/song/30351417?pwc%5Bbranded%5D=1Â â€_ Listen for free. @DavidDiehl20 @dorner_martina @markwinder8 @MariaBF1 #reverbnation #WinstonCook #Texas #indie #Georgetown pic.twitter.com/Vg6RKdtFLc,0,4,12,1.55E+12,3/14/2019 7:53,/CC_Z28/status/1106206744081022976
1554328476-3182,https://twitter.com/search?l=&q=%23georgetown%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@enkiexpress,enkiexpress,"Urgent Dispatch/Printer troubleshooting- on site work for #happycustomer in #GEORGETOWN Today!

As a hands-on service provider, we take every measure to ensure our customers short-term andâ€_ https://www.instagram.com/p/BvufECxBoN_/?utm_source=ig_twitter_share&igshid=93s7wisydgm0Â â€_",0,0,0,1.55E+12,4/1/2019 13:28,/enkiexpress/status/1112813969184481280
1554328476-3265,https://twitter.com/search?l=&q=%23georgetown%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@MattBowen41,Matt Bowen,Team captain. 3x State Champ. Great student. On to #Georgetown. Proud to coach @kgb_2001 at @iccpfootball.https://twitter.com/kgb_2001/status/1090645247984586754Â â€_,0,3,39,1.55E+12,1/30/2019 9:30,/MattBowen41/status/1090663638548037632
1554328476-3194,https://twitter.com/search?l=&q=%23georgetown%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@KingTromendus,Tromendus,"live!! 
#NipseyHussleForever #NipseyHussel #next2rise #lindenboss #lindenbadman #Guyana #westindies #allin #georgetown #miami #florida #newyork #europe #africapic.twitter.com/8JFpBak2TN",0,0,0,1.55E+12,4/1/2019 20:15,/KingTromendus/status/1112916411318525952
1554328476-3221,https://twitter.com/search?l=&q=%23georgetown%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@alexclewontin,Alex Lewontin,"BREAKING: URI told @GtownVoice that when they contacted the #Georgetown Athletic Director in July 2018, prior to Ernstâ€™s hiring, the GU AD provided a positive reference. GU says they became aware of misconduct by Ernst in Dec. 2017. From @mgachby:https://georgetownvoice.com/2019/03/14/georgetown-gave-positive-recommendation-for-former-tennis-coach-after-internal-investigation-revealed-misconduct/Â â€_",0,7,16,1.55E+12,3/14/2019 13:35,/alexclewontin/status/1106292787211833353
1554328476-3256,https://twitter.com/search?l=&q=%23georgetown%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@jsadiq,Jahabar Sadiq,"The crack of dawn in George Town!

Birds fly in the morning sky as sunlight bathes the day in various hues of the rainbow.

#georgetown #sunrise #leica #leicaqp #leicaphotographypic.twitter.com/bknz7D8mYB",0,6,23,1.55E+12,2/5/2019 15:38,/jsadiq/status/1092930425779933184
1554328476-3239,https://twitter.com/search?l=&q=%23georgetown%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@SportsAviation,Sports + Aviation,"Beautiful VIP ride for @GeorgetownHoops earlier into Omaha for Creighton
IAD  OMA
N737AT | B737
1-4 @ CU (Last Trip: 2018 | Win: 2015)
2:29
5:04pm ( | 32Âº)
986 Miles
https://bit.ly/2GXfwKgÂ 
 Peach Air | http://Flickr.comÂ 
#Hoyas #Georgetown #GoHoyas #BIGEASTpic.twitter.com/wK4u9JQtMI",3,4,12,1.55E+12,2/22/2019 16:18,/SportsAviation/status/1099101078916718592
1554328476-3223,https://twitter.com/search?l=&q=%23georgetown%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@alexclewontin,Alex Lewontin,Tons of new updates about parents and a former tennis coach at #Georgetown implicated in today's #college #admissions bombshell. Read the coverage from me and @nickgavio for the @GtownVoice:https://georgetownvoice.com/2019/03/12/nationwide-college-admissions-scandal-implicates-former-tennis-coach-parents/Â â€_,0,4,11,1.55E+12,3/12/2019 14:46,/alexclewontin/status/1105585908911349762
1554328476-3208,https://twitter.com/search?l=&q=%23georgetown%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@EmergDest,EmergingDestinations,"FEATURED ITINERARY from @discoverguyana: Sunrise Birding LLC - Birding & Wildlife Tours - GUYANA - October 18 - 31, 2019 https://buff.ly/2uszXr1Â  #Iwokrama #KaieteurFalls #Surama #NorthernRupununi #Georgetown #birding #sunrisebirding #DiscoverGuyana #Amazonbasinpic.twitter.com/uCMlnFuOPD",0,2,4,1.55E+12,3/27/2019 12:30,/EmergDest/status/1110987380335489025
1554328476-3255,https://twitter.com/search?l=&q=%23georgetown%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@KVUE,KVUE News,PLEASE #RETWEET: #Georgetown police seeking missing man with cognitive impairment http://bit.ly/2TDIdiY,0,14,5,1.55E+12,2/6/2019 4:13,/KVUE/status/1093120558479355904
