•ÈÀweb-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
1554331201-3820,https://twitter.com/search?l=&q=%23admissionscandal%20OR%20%23admissionsscandal%20OR%20%23admissionscam%20OR%20%23admissionsscam%20OR%20%23collegeadmissionscandal%20OR%20%23collegeadmissionsscandal%20OR%20%23collegeadmissionscam%20OR%20%23collegeadmissionsscam%20OR%20%23collegescandal%20OR%20%23collegescam%20OR%20%23collegecheatingscandal%20OR%20%23collegecheatingscam%20OR%20%23loriloughlin%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@AssemblyDems,Assembly Democrats,"""But they were already rich,"" people are exclaiming about the #CollegeScam parents.

Cash isn't social status, and in fact many trade money for high prestige every day.

https://www.cernovich.com/mindset-is-status-how-to-free-yourself-from-status-slavery/åÊ‰Û_",9,16,52,1.55E+12,3/13/2019 16:28,/AssemblyDems/status/1111335162388729856
1554331201-3757,https://twitter.com/search?l=&q=%23admissionscandal%20OR%20%23admissionsscandal%20OR%20%23admissionscam%20OR%20%23admissionsscam%20OR%20%23collegeadmissionscandal%20OR%20%23collegeadmissionsscandal%20OR%20%23collegeadmissionscam%20OR%20%23collegeadmissionsscam%20OR%20%23collegescandal%20OR%20%23collegescam%20OR%20%23collegecheatingscandal%20OR%20%23collegecheatingscam%20OR%20%23loriloughlin%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@QBG_AACRAO,Quintina,"If you think rich white men failing upward is a thing in #CollegeCheatingScandal you haven't seen the entertainment industry. There's a reason why the numbers are so dismal at the DGA and other guilds. There's a shocking number of legacy hires, keeping genuine talent out.",1,11,51,1.55E+12,3/13/2019 23:52,/QBG_AACRAO/status/1112740822640779265
1554331201-3928,https://twitter.com/search?l=&q=%23admissionscandal%20OR%20%23admissionsscandal%20OR%20%23admissionscam%20OR%20%23admissionsscam%20OR%20%23collegeadmissionscandal%20OR%20%23collegeadmissionsscandal%20OR%20%23collegeadmissionscam%20OR%20%23collegeadmissionsscam%20OR%20%23collegescandal%20OR%20%23collegescam%20OR%20%23collegecheatingscandal%20OR%20%23collegecheatingscam%20OR%20%23loriloughlin%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@MECK_ILLEST,Mecklenburg Illest,Do U really think Felicity Huffman and Lori Loughlin will see any jail time? #CollegeCheatingScandal https://perezhilton.com/felicity-huffman-lori-loughlin-jail-time-possibility/åÊ‰Û_,94,3,50,1.55E+12,3/20/2019 7:15,/MECK_ILLEST/status/1107869393936179201
1554331201-4114,https://twitter.com/search?l=&q=%23admissionscandal%20OR%20%23admissionsscandal%20OR%20%23admissionscam%20OR%20%23admissionsscam%20OR%20%23collegeadmissionscandal%20OR%20%23collegeadmissionsscandal%20OR%20%23collegeadmissionscam%20OR%20%23collegeadmissionsscam%20OR%20%23collegescandal%20OR%20%23collegescam%20OR%20%23collegecheatingscandal%20OR%20%23collegecheatingscam%20OR%20%23loriloughlin%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@TVLine,TVLine.com,"#AuntBecky ya thought ya weren‰Ûªt gonna get caught huh?
#collegeadmissionscandal #CollegeCheatingScandal pic.twitter.com/7zJa8h91j2",6,48,49,1.55E+12,3/13/2019 17:38,/TVLine/status/1106286977912049665
1554331201-3927,https://twitter.com/search?l=&q=%23admissionscandal%20OR%20%23admissionsscandal%20OR%20%23admissionscam%20OR%20%23admissionsscam%20OR%20%23collegeadmissionscandal%20OR%20%23collegeadmissionsscandal%20OR%20%23collegeadmissionscam%20OR%20%23collegeadmissionsscam%20OR%20%23collegescandal%20OR%20%23collegescam%20OR%20%23collegecheatingscandal%20OR%20%23collegecheatingscam%20OR%20%23loriloughlin%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@triciaebarvia,Tricia Ebarvia,Tip from Yale dad reportedly led feds to college-admissions scam https://trib.al/OYMLZ03åÊ #CollegeCheatingScandal,2,36,49,1.55E+12,3/14/2019 12:35,/triciaebarvia/status/1107943692965433344
1554331201-4221,https://twitter.com/search?l=&q=%23admissionscandal%20OR%20%23admissionsscandal%20OR%20%23admissionscam%20OR%20%23admissionsscam%20OR%20%23collegeadmissionscandal%20OR%20%23collegeadmissionsscandal%20OR%20%23collegeadmissionscam%20OR%20%23collegeadmissionsscam%20OR%20%23collegescandal%20OR%20%23collegescam%20OR%20%23collegecheatingscandal%20OR%20%23collegecheatingscam%20OR%20%23loriloughlin%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@RealDLHughley,DL Hughley,"Multiple Lawsuits Totaling Over $500 Billion Filed Against Elite Universities In The Wake Of The #CollegeAdmissionScandal

https://www.dailymail.co.uk/news/article-6809747/Lawsuits-filed-500b-wake-college-cheating-scandal.htmlåÊ‰Û_",2,26,49,1.55E+12,3/14/2019 17:35,/RealDLHughley/status/1105999753907748864
1554331201-3804,https://twitter.com/search?l=&q=%23admissionscandal%20OR%20%23admissionsscandal%20OR%20%23admissionscam%20OR%20%23admissionsscam%20OR%20%23collegeadmissionscandal%20OR%20%23collegeadmissionsscandal%20OR%20%23collegeadmissionscam%20OR%20%23collegeadmissionsscam%20OR%20%23collegescandal%20OR%20%23collegescam%20OR%20%23collegecheatingscandal%20OR%20%23collegecheatingscam%20OR%20%23loriloughlin%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@lovelyti,lovelyti,"Credibility of Felicity Huffman‰Ûªs parenting site ""ruined"" after #CollegeCheatingScandal, expert says http://thr.cm/TXqvbxåÊpic.twitter.com/zzs5rMrRR1",16,20,49,1.55E+12,3/15/2019 12:49,/lovelyti/status/1110220312707321856
1554331201-3706,https://twitter.com/search?l=&q=%23admissionscandal%20OR%20%23admissionsscandal%20OR%20%23admissionscam%20OR%20%23admissionsscam%20OR%20%23collegeadmissionscandal%20OR%20%23collegeadmissionsscandal%20OR%20%23collegeadmissionscam%20OR%20%23collegeadmissionsscam%20OR%20%23collegescandal%20OR%20%23collegescam%20OR%20%23collegecheatingscandal%20OR%20%23collegecheatingscam%20OR%20%23loriloughlin%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@Baxterwareham,Baxter Wareham,Isabelle Henriquez is one of the only students accused of willingly participating in the #CollegeCheatingScandal‰ÛÓand now her degree may be in jeopardy https://trib.al/teHFLh2,16,30,48,1.55E+12,3/14/2019 6:00,/Baxterwareham/status/1111430721044795394
1554331201-3868,https://twitter.com/search?l=&q=%23admissionscandal%20OR%20%23admissionsscandal%20OR%20%23admissionscam%20OR%20%23admissionsscam%20OR%20%23collegeadmissionscandal%20OR%20%23collegeadmissionsscandal%20OR%20%23collegeadmissionscam%20OR%20%23collegeadmissionsscam%20OR%20%23collegescandal%20OR%20%23collegescam%20OR%20%23collegecheatingscandal%20OR%20%23collegecheatingscam%20OR%20%23loriloughlin%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@LyleMultimedia,"Michael Lyle, Jr. åÊ_Ù_¤åÊ_Ù_ª",All the people arrested for cheating to get their kids into college were all Democrats and Democratic donors. #CollegeAdmissionScandal #ImWithHer #Lockthemup,4,29,48,1.55E+12,3/15/2019 20:41,/LyleMultimedia/status/1110311858660085760
1554331201-3752,https://twitter.com/search?l=&q=%23admissionscandal%20OR%20%23admissionsscandal%20OR%20%23admissionscam%20OR%20%23admissionsscam%20OR%20%23collegeadmissionscandal%20OR%20%23collegeadmissionsscandal%20OR%20%23collegeadmissionscam%20OR%20%23collegeadmissionsscam%20OR%20%23collegescandal%20OR%20%23collegescam%20OR%20%23collegecheatingscandal%20OR%20%23collegecheatingscam%20OR%20%23loriloughlin%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@Brightly50,Formerly Brightly5,"The outrage over #AdmissionsScam made me remember this column I had written on nepotism in internships. If you‰Ûªre posting about the injustice, make sure you aren‰Ûªt contributing to it. And ban the ‰ÛÏsale‰Û of internships at elite schools. https://www.google.com/amp/s/qz.com/99121/please-take-this-pledge-i-will-not-hire-the-unqualified-children-of-my-friends-as-summer-interns/amp/åÊ‰Û_",0,15,48,1.55E+12,3/13/2019 15:54,/Brightly50/status/1110200989955645441
