content,replies,retweets,favorites,published_date
"Last active player from UCLA 95' National Championship team 

I thank God and my Lord and Savior Jesus Christ to still be able to do what I love

#ucla #95champs #ncaabasketball‰Û_ https://www.instagram.com/p/BtVLakwlZlT/?utm_source=ig_twitter_share&igshid=1umerxhleitweåÊ‰Û_",1,16,109,1/31/2019 23:32
#UCLA needs to take a look at Gregg Marshall.,31,6,88,1/6/2019 16:35
@UKCoachCalipari you won‰Ûªt have to deal with psycho loser fans at ucla lot more to do in La than obsess over college basketball #ucla https://twitter.com/theuofkwildcats/status/1112720138032345089åÊ‰Û_,0,0,1,4/1/2019 15:09
"UCLA Gymnast Katelyn Ohashi amazing tribute to Michael Jackson
Michael Jackson is always a source of inspiration
Thanks @katelyn_ohashi

#MichaelJackson #MJFam #KingOfPop #KatelynOhashi #UCLA #Inspirationpic.twitter.com/feVMbHhZCV",18,116,418,1/14/2019 7:54
"What's keeping you from jetting to Lake Arrowhead for your next #conference or #meeting?

#UCLA #LakeArrowhead #LA #meetingspic.twitter.com/bqqTOuGnGZ",0,5,23,3/27/2019 11:37
Feel like that would make for an elite ball mark on the golf course. #Ucla https://twitter.com/nncoin/status/1112693735337402368åÊ‰Û_,0,1,1,4/1/2019 5:54
Update Video Interview with 2021 CB Zamajay Duncan @ZDuncan13 from #UCLA on RNG: https://www.recruitingnewsguru.com/update-video-interview-with-2021-cb-zamajay-duncan-from-ucla/åÊ‰Û_ #Sooners #GoUtes #ForksUp #GoBadgers #CFBRecruiting,0,6,14,4/2/2019 13:07
@GaryParrishCBS a few questions about #UCLA. If you‰Ûªre in charge of the @UCLAMBB coaching search who is the dream hire? Who are in your top 3 for candidates? What‰Ûªs a realistic hire??,0,0,0,4/2/2019 11:47
@uclagseis best part of our job?  Maybe getting to hang out with #UCLA emeritus professor John McNeal! pic.twitter.com/G2oqNBwVcK,0,1,2,3/26/2019 16:03
#UCLA gymnast who removed Michael Jackson's music from her viral routine just days before competition STILL manages to score a perfect ten with new female-focused choreography pic.twitter.com/x6s5AvnzjO,0,0,1,3/27/2019 5:57
"Orem (UT) four-star receiver Puka Nacua, one of the nation's top unsigned prospects, discusses his recent official visits to #UCLA and #Oregon, set for national signing day reveal: https://247sports.com/Article/College-Football-Recruiting-Puka-Nacua-recaps-UCLA-Oregon-official-visits-set-for-national-signing-day-reveal-128687121/åÊ‰Û_pic.twitter.com/C5X6Rjw25S",16,24,98,2/4/2019 13:12
"Ending this working trip at @UCLA with John Strauss, producer and writer of film and television. #immusa19 #mediastelecoms19 #screenwriting #ucla #prospective #innovationpic.twitter.com/EREbHJBBaO ‰ÛÒ at UCLA James Bridges Theater",0,2,5,3/29/2019 18:33
"It's time we get our priorities straight. Let's lower and cap out of control admin pay, demand real administrative accountability, and work together to solve common problems. #UCLA is the best school in the USA. No more excuses. 

For more: http://Zakfisher.com",0,0,1,3/31/2019 17:14
#BOOM! #UCLA has received a commitment from 2019 OLB/DE Connor Barbato! Welcome to Westwood! https://twitter.com/connorbarbato/status/1093002880607375361åÊ‰Û_,1,5,27,4/1/2019 17:38
"Check out #UCLA alumna and former Bruin Cheerleader @DanielleAlvari and her new #FOURSUPdate show. If you like it, hit subscribe!https://www.youtube.com/watch?v=nyL5Tr4RCdcåÊ‰Û_",1,1,12,1/2/2019 17:40
The #UCLA signee gets a mention as one of the standouts in the first day of practice at All-American Bowl:  https://247sports.com/college/ucla/Article/Top-Performers-From-Day-1-of-the-2019-All-American-Bowl-127177418/åÊ‰Û_,0,1,27,1/3/2019 6:58
"Honestly, if we can‰Ûªt get a tier 1 coach right now, let‰Ûªs just bring back Bartow on a 1 year interim basis and then play this game again next year. 
Im willing to write off one more year as opposed to another Lavin/Alford level hire that will be 5-6 years of awful. #UCLA",2,0,2,4/2/2019 7:27
Super excited & grateful with this news segment and to be headed to #UCLA with my friends @robertxjimenez #lorie @ABC7 @abc7robmcmillan @UCLA @UCLAAdmission @UCLA_Alumni @ValVerdeUSD @RVHS_Mustangspic.twitter.com/vCliqAkpTf ‰ÛÒ at Rancho Verde High School,15,69,330,4/1/2019 18:53
To #UCLA getting a new basketball coach. pic.twitter.com/Wc15Gbpxcp,2,1,17,12/31/2018 20:09
Former #USC tailback commit Jordan Wilmore is expected to sign with either #Utah or #UCLA,28,33,175,1/14/2019 19:16
"Gave a paper presentation at #AAHHE2019 then #ACPA2019 (which thankfully, @KalebBriscoe7 presented on our behalf). Talk at #UCLA. Writing retreat w/@RRGIowaState.
2 paper presentations #CSCC2019. Now, 3 upcoming paper presentations at #AERA2019. #exhaustedpic.twitter.com/ZurLMoYHxe",3,1,17,3/31/2019 15:38
"#UCLA TE Caleb Wilson with a 4.56u on his 1st 40 attempt.

Time per Charley Casserly on the NFLN stream. pic.twitter.com/9C2Vf5bPSS",1,25,98,3/2/2019 7:31
@MentalUcla Mental Wellness needs of LGBTQ+ Students at UCLA #UCLA #Mentalhealth #MentalUCLApic.twitter.com/hbPTIzszuf,0,0,0,3/29/2019 11:46
"I had to ask @diegotinocotwit about his character (#Cesar) who‰Ûªs whole family is in gang and really doesn‰Ûªt want to apart of that life. He wants to go to community college and then transfer to #UCLA to become an architect.

#OnMyBlock #Netflix #OMBpic.twitter.com/m3hSvJZvHD",0,0,6,3/28/2019 11:47
#UCLA spring football practice resumes today. Get all the info you need here -- reviews of practice so far and previews of April: https://247sports.com/college/ucla/Article/UCLA-Spring-Practice-Central-129776840/åÊ‰Û_,0,0,9,4/2/2019 6:16
"As I said a while ago, Watson should have been #UCLA‰Ûªs top choice from the beginning. https://twitter.com/schultz_report/status/1112164210836791296åÊ‰Û_",1,1,6,3/30/2019 19:07
"Fighting stigmas: @Mattel is debuting a @Barbie doll w/ a prosthetic leg & another that comes w/ a wheelchair in June. The company worked w/ #UCLA Mattel Children's Hospital @UCLAMCH, wheelchair experts & a 13-year-old disability activist on the project.https://www.cnn.com/2019/02/12/us/barbie-doll-disabilities-trnd/index.html?utm_medium=social&utm_term=image&utm_content=2019-02-16T15:20:53&utm_source=twCNNåÊ‰Û_",1,16,66,2/19/2019 13:02
You too can take part in the nominations process for the 2019-2020 UCLA Common Book. The #UCLA Common Book program began in 2008 as a way to engage students in conversations around global citizenship and cultural competency. Find out more here: http://tinyurl.com/commonbook2019åÊ.pic.twitter.com/f7gWxU13KL,0,2,0,4/1/2019 17:00
"After being indicted in the nationwide admission scandal earlier today, #UCLA men‰Ûªs soccer coach Jorge Salcedo has been placed on leave by the program.

Salcedo was reportedly involved in two of these cases in his 15-year tenure, accumulating $200K in bribes.",5,15,33,3/12/2019 10:15
"GET TO A TV NOW!
#UCLA 46
#UCONN 41
2:03 | 3Q
ESPN
Go go go go gopic.twitter.com/eR48mQXJn8",0,4,5,3/29/2019 17:25
"When Kentucky and Duke lose on the same day, keeping them from closing the gap on #UCLA‰Ûªs lead in national championships... pic.twitter.com/85afhg96T0",2,12,57,3/31/2019 16:12
"""We go to #UCLA. It's a different standard. You have to wake up every morning and say, 'I'm here to do my best and to get better every day.'"" - Alyssa Wilson 



UCLA's 2019 season will open tomorrow at the NAU Friday Night Duals! 

: https://bit.ly/2VL875våÊ

#GoBruinspic.twitter.com/QXeI0MxwYN",0,11,77,1/10/2019 17:09
"Athletes Strategy: The Process

@alexaadvocare and @007MMHunter  talks about the recruiting process after getting their son @Kain_05 to #UCLA 

Full video on @YouTube soon 

#sports #highschoolsports #ncaa #cfb #athletesstrategy #highschoolfootballpic.twitter.com/XlSY0Z1SLo",0,12,31,2/5/2019 12:42
Chris Beard will be the next head coach of #UCLA,0,0,0,3/29/2019 13:56
"Pls share this LIFE SAVING TIP! I am joining my friend @esrailian & his talented team @uclahealth to raise awareness about the importance of colon cancer screening!

#UCLAColonChampion #UCLA #Bruins #Health #coloncancer #ColonCancerAwarenessMonth #cancersurvivor #Cancerpic.twitter.com/hlWebGRH7I",9,60,196,3/19/2019 18:59
"#ShrineGame West Day 2 ‰ÛÏWinners‰Û

-#FresnoSt QB Marcus McMaryion
-#LSU RB Nick Brosette 
-#FresnoSt WR KeeSean Johnson
-#Missouri TE Kendall Blanton
-#Kansas DT Daniel Wise
-#UCLA SAF Adarius Pickett
-#Troy CB Blace Brown",2,44,112,1/15/2019 13:27
"#UCLA walk-on WR Ethan Fernea, who was looking like he was earning playing time and a scholarship in March, broke his leg last week during a workout and is in a boot at practice.  He deserves a scholarship regardless.",1,15,111,4/2/2019 9:58
"Want to learn more about the Teachers of Promise Institute? 

Visit their site: http://www.teachersofpromiseinstitute.com",0,0,2,3/29/2019 16:14
"LOS ANGELES ! We are your recipe for #LASports! We appreciate EVERY follow and interaction! If your not already, give us a follow! If you want to join our team, slide into those DMs! #LARams #LAChargers #Dodgers #LAA #Lakers #Clippers #USC #UCLA #LAKings #Duckspic.twitter.com/ChAPYtIzMi",0,2,2,4/1/2019 21:30
I‰Ûªll also say this about #UCLA. I‰Ûªve never known the Times beat writer to have very good sources. He‰Ûªs always reporting what everyone else has. The fact he seems to be first on this suggests the leak may have been intentional & for ulterior motives. Could be misdirection.,0,1,1,4/1/2019 20:05
"A few college picks for all my people out there!

I‰Ûªve changed my name to #RevengeGameJay

Like, follow, retweet please

#UCLA -4 revenge

#OregonSt -4 revenge

#Oregon -2.5 revenge

#JayMoneyIsMoney
#MoneyGangSportz
@SBRSportsPicks
#KingsCourt
#GamblingTwitter
#JustWin
#Cbbpic.twitter.com/r69Fx0FBMS",5,14,47,2/28/2019 17:36
A student that I‰Ûªve been teaching since she was a sophomore just told me she got into @ucla and I flat out cried in front of the class. I will never stop fighting for my community‰Ûªs right to a good education. #madeinph #ucla #uclabound #uclaalumni,1,0,20,4/2/2019 14:46
"UCLA League of Legends Varsity is here.

Welcome to the family!

Click here to read more on the announcement : http://bit.ly/UCLALoLVåÊ

#ucla #esports #collegiate #leagueoflegendspic.twitter.com/AASSFLyeaW",4,6,66,1/15/2019 10:00
Thank you to all of our customers who made the first day of the UCLA Westwood Commuter Shuttle pilot program a success. #8clap #ucla #longbeach @UCLACommutepic.twitter.com/AJEj1H7wyC,0,5,24,4/1/2019 9:04
Positive School Climate and Conditions Team listening to #UCLA‰Ûªs Tyrone Howard‰Ûªs recommendations.  #SBCSS #CAMTSS      1. Students cannot learn if they are not in school 2. Start humanizing and stop criminalizing our students 3. We are harming our most vulnerable population.pic.twitter.com/2M81FcdFlC,0,1,11,3/27/2019 13:44
"#UCLA Basketball Rumors, Rick Pitino to End Greek Exile to Coach UCLA? https://www.onlinegambling.com/news/2019/03/ucla-basketball-rumors-rick-pitino-greek-exile-head-coach-ucla/åÊ‰Û_pic.twitter.com/6xVWVQGtmY",0,0,0,4/1/2019 8:25
"Do scientific experiments and explore cutting-edge technology in the Nanoscale Microscopy Lab Summer Institute and Nanoscience Lab Summer Institute, open to high school students. Register today to reserve your spot http://ow.ly/6gLU30ohJk6åÊ #SummerBruin #ucla pic.twitter.com/evWURLvaXx",0,0,0,4/2/2019 9:10
A lot of people said #UCLA wasn‰Ûªt an elite job. A lot of people said Calipari would never think of leaving Kentucky for UCLA. But clearly it is and clearly he did. https://twitter.com/SethDavisHoops/status/1112788790626508800åÊ‰Û_,5,7,37,4/1/2019 11:59
"Beard, when he left UNLV after 10 days for Texas Tech: ‰ÛÏWhen momma calls, you‰Ûªve gotta go home. Texas Tech is my momma and I‰Ûªm home.‰Û #Ucla pic.twitter.com/wW8fCntb4h",1,0,0,3/28/2019 5:04
Nice crowd for #UConn-#UCLA in Albany regional semifinals pic.twitter.com/VOVsM3dxfR,0,0,3,3/29/2019 16:06
"Had the opportunity to meet a couple prospects and share all that is great about #UCLA, including: 

‰Û¢ An unrivaled network for life after sport
‰Û¢ Being forever part of the #BruinFamily
‰Û¢ The opportunity to earn a degree from the #1 public institution in the pic.twitter.com/tqpclCJKuE",1,29,151,1/31/2019 19:49
Why is this alien reading about the history of human civilization at the #UCLA library?  Find out at http://spark.ucla.edu/SETIåÊ #UCLASETIpic.twitter.com/F1I8dJJBZF,0,1,1,3/27/2019 14:30
"Natalia just received her acceptance notification from UCLA into the School of Theater, Film and Television.  We are so excited!!! 
#UCLA pic.twitter.com/0zg9XSC3or",1,8,64,3/22/2019 18:46
#UCLA basketball interim head coach Murry Bartow was on @PetrosAndMoney. He basically said it will be up to the players to decide what direction this team goes in. He also talked about the possibility of playing faster.,0,1,16,1/2/2019 16:49
TRAVEL - UCLA Transportation partners with Long Beach Transit to create new bus line http://www.lbdailynews.com/latest/ucla-transportation-partners-with-long-beach-transit-to-create-new-bus-line/åÊ‰Û_ #LongBeach #UCLA @dailybruinpic.twitter.com/U7OwGZwG27,0,0,3,4/1/2019 16:20
"TO GOD BE THE GLORY!! I really couldn‰Ûªt have done it without Him, so grateful for His grace & blessings. 
 SÌ SE PUEDE  
#ucla #uci #ucr #ucsdpic.twitter.com/tg5pw8r4Xx",10,30,142,3/26/2019 14:32
"Happy Black Futures Month!

We are excited to announce that the founder ofåÊwokeSTEMåÊhas been selected to grace the #TEDx stageåÊthis May!!! More info in our email newsletter at http://wokestem.comåÊ 

#scicomm #BlackandSTEM #BlackHistoryMonth #UCLA pic.twitter.com/yzfyylgejZ",3,14,63,2/19/2019 12:05
@MentalUcla Mental Wellness needs of Latinx Students at UCLA #UCLA #Mentalhealth #MentalUCLApic.twitter.com/X8RW7DDT71,0,0,0,3/29/2019 11:46
"Black Women Write!
#citeblackwomen #citeasista #blackgirlmagic #UCLA #USC
 &  @SipandSonderpic.twitter.com/GXvF8QF7N5 ‰ÛÒ at Sip & Sonder",1,13,54,3/9/2019 19:32
"Source: Former #UCLA star, 13-year NBA PG and NBA head coach Earl Watson interviewed for the Bruins‰Ûª HC position with the UCLA brass. Watson would bring w/him Larry Brown as a top assistant. Watson helped create Earl Watson Elite, which is now West Coast Elite. @WCEBball @UCLAMBB",38,103,271,3/30/2019 18:26
"#UCLA Basketball: The women will be nothing to mess with in 2019-20
‰_@UCLAWBB‰©https://gojoebruin.com/2019/04/02/ucla-basketball-the-women-will-be-nothing-to-mess-with-in-2019-20/åÊ‰Û_",0,2,28,4/2/2019 12:29
"Finished my last game with a Dub, Westtttt coast is the best coast. Thank you @Shrine_Game for the opportunity, I had an amazing time. #4sUp #Ucla. College Career officially over with  Thank you God continue to lead the way.",2,16,140,1/19/2019 15:16
"I'll cry if @GoodmanHoops gets his way -- Hurley to #UCLA. I doubt Hurley is a real candidate here and don't think he'd leave #ASU for Westwood. Hurley is happy and doubt he leaves unless #Duke calls post Coach K. If it's about money, pay Hurley whatever he needs. #ForksUphttps://twitter.com/GoodmanHoops/status/1079806922793144321åÊ‰Û_",0,0,0,12/31/2018 16:22
#UCLA offering Cal a pay cut to come to UCLA would be the most UCLA thing ever,29,40,438,4/1/2019 12:33
"As #ColonCancerAwarenessMonth closes, I am so grateful to @esrailian @UCLAHealth & @UCLAJCCC for their support! We held 12 community & 6 #UCLA events, shared 15 patient stories & 13 articles, made 4 videos, & launched a website for #coloncancer this month! @trams63 @EdgarC_UCLApic.twitter.com/8R6LH0jUHl",6,5,27,3/29/2019 11:08
"""If dem a-gon' win the revolution, dem haffa win it wid-a RASTA."" #bobmarleyquotes #AfricaUnite

______
 from interview with #UCLA Black Studies department backstage before a show at the #PauleyPavilion during the 1979 #Survival tour.pic.twitter.com/7qtxhtm8W4",7,110,348,4/2/2019 11:00
#UCLA freshman quarterback Chase Griffin is throwing for the first time in spring practice.,0,8,51,4/2/2019 8:26
"Earlier I previewed 2 commits for football now here is one for baseball 2019 Corbin Carroll is a 5‰Ûª10‰Û 170 lb. OF out of Seattle, Washington. Runs a 6.33 60 and throws 91 from the outfield. Short and quick swing at the plate. #UCLA commit. 18 years old. pic.twitter.com/85UAfZtb7j",0,1,1,3/26/2019 3:10
"""Some times you have to take initiative and define your relevance to colleagues and campus partners.""
--@juliesina, Associate Vice Chancellor of #UCLA Alumni Affairs
#GLSLA2019 #AlumniRelations",0,1,3,4/2/2019 11:03
#Miami‰Ûªs ownership of the transfer portal continues with DL from #UCLA https://twitter.com/_GOZZILA_/status/1087910145185607680åÊ‰Û_,3,14,94,1/22/2019 19:17
"We are delighted to announce that our Hall of Fame Committee has selected John Fowler, Minoru Shimoyama and Andrew Warne to be inducted into the #UCLA Rugby Hall of Fame this January 19, 2019 at Pauley Pavillion. Please follow the link for more info. http://bit.ly/Halloffame2019",0,5,8,1/2/2019 18:13
"It‰Ûªs more than something we say, it‰Ûªs something we live. Best of luck to all our students this quarter #ThinkFearlessly #GoBruins #UCLA #UCLAAnderson #WhyAndersonpic.twitter.com/MP2uxjWGgq",0,1,5,4/2/2019 15:05
Thank you to the UCLA Football staff for the great unofficial visit. Great to sit down & meet the coaching staff in Westwood @Lgauthier_  @UCLAFBRecruit @RickKimbrel @GregBiggins @CoachJFrye @Stumpf_Brian @dan_fields_25 @BruinReport @UCLAAthletics @emily_laff @EthanYoungFB #UCLA pic.twitter.com/CC7KCMZkvy,1,61,252,2/11/2019 17:03
1/2 @MentalUcla Mental Wellness needs of Black Female Students at UCLA #UCLA #Mentalhealth #MentalUCLApic.twitter.com/G0CtVNQYdG,0,2,2,3/29/2019 11:31
I have Earl Watson at #10. That‰Ûªs actually great for someone with his experience; shows him a lot of respect. But I can‰Ûªt objectively make the case for Watson over any of the names above him. #Ucla https://twitter.com/TheSeedofNestor/status/1112125788030038016åÊ‰Û_,0,0,1,3/31/2019 13:47
Title defense begins tonight. It's #pac12gym Meet Day! #UCLA competes at 6pm MT/5pm PT in session 2 of the @pac12 Championships. Watch on @Pac12Network. #GoBruinspic.twitter.com/mu6pZbWlwg ‰ÛÒ at Maverik Center,11,36,384,3/23/2019 7:58
2020 St. Louis (HI) WR Matt Sykes on his visit to #UCLA. #8Claphttps://twitter.com/mattsykes17/status/1112866679346749442åÊ‰Û_,0,2,19,4/1/2019 21:41
"Honolulu (Hawaii) St. Louis 6‰Ûª2 295lbs 3* DT @stan_mckenzie94 reviews championship season with @3rdAVEBallers, talks recent offers from #Oregon & #OregonState, new interest from schools like #Washington, #Cal, #UCLA, #Wisconsin & others - via @BeaverBlitz

https://247sports.com/college/oregon-state/Article/2020-DT-Stanley-McKenzie-Honolulu-St-Louis-championship-Oregon-State-Hawaii-Oregon-Virginia-BYU-Oklahoma-Washington-Cal-Colorado-UCLA-Purdue-Wisconsin-128273633/åÊ‰Û_pic.twitter.com/kdDt10u3AS",3,19,36,1/24/2019 18:39
The most desirable jobs of the 2019 coaching carousel https://buff.ly/2uAXUMTåÊ @RazorbackMBB = no. 2 behind #UCLA. Seems reasonable enough. @SInowpic.twitter.com/TPuGiQS7PC,0,0,0,4/1/2019 8:28
"#USC basketball wins again, 69-67 Beating #UCLA, #Arizona and now #ASU back-to-back-to-back.",4,15,168,1/26/2019 19:16
Will the mighty Bruins of #UCLA ever make this game? Don‰Ûªt answer that. pic.twitter.com/J4hQndcEW8,42,2,90,1/7/2019 15:25
Freshman Sophie Scott leads a 1-2-3 #UCLA sweep in the 1500m with a time of 4:35.40. Paige Carter (4:36.00) and Kira Loren (4:36.60) finished right behind. pic.twitter.com/46tEVFdOkz,0,3,36,3/29/2019 19:49
UCLA practice #UCLA #Bruins #NCAATournamentpic.twitter.com/uLarzG3Q57,0,0,0,3/28/2019 19:18
"The brothers of Alpha Phi Alpha at #UCLA just dropped this ICE Cold social justice cypher // @GammaXi1947 #AlphaPhiAlpha

Full article + video: https://buff.ly/2Gex7xNåÊpic.twitter.com/VO0VEAwwhC",1,36,48,2/7/2019 14:33
"""What we are seeing all across this country is a war being waged against working people,"" @BernieSanders said while standing in solidarity with striking @UPTECWA & @AFSCMELocal3299 members. #UCLA #Strike4Equality #UCfortheMany #3299Strong #UPTEStrong #1uhttps://www.commondreams.org/news/2019/03/21/decrying-war-being-waged-against-working-people-sanders-joins-striking-union-membersåÊ‰Û_",0,32,33,3/21/2019 11:04
"#Relax in one of our condolets when you visit the #UCLA Lake Arrowhead Conference Center. Relaxing, refined and ready!

#LosAngeles #LakeArrowhead #Californiapic.twitter.com/ThjsSKaFDx",0,1,8,4/2/2019 11:13
Thank you to Cathy Rigby for coming out to the meet today! #ucla #pauleypavillionpic.twitter.com/EDeDoFgqiD,3,3,162,3/10/2019 22:46
#UCLA just offered... https://twitter.com/thee5ivester/status/1084984816347410432åÊ‰Û_,4,5,83,1/14/2019 17:37
1st time at this conference. @CarolJago spoke and provided lots of info and insight about teaching our digital learners. #UCLA pic.twitter.com/19JEU6izgY,0,0,1,3/30/2019 9:49
Why would they panic when they have more qualified candidates within the #UCLA family? https://twitter.com/bruinnation/status/1112868517668372481åÊ‰Û_,0,0,0,4/2/2019 11:46
"Once and for all, #UCLA fans do not have unreasonable expectations, they just want their beloved program to stay relevant... https://twitter.com/GoJoeBruinUCLA/status/1080531140765597696åÊ‰Û_",1,4,16,1/2/2019 10:29
"Jamie Dixon, like everybody else, would be wise to just say no to #UCLA, whose basketball program and, more importantly, its finances are worse than the traffic in southern California. #NCAA #Big12MBB https://www.pressboxdfw.com/is-this-true-or-is-that-a-russian-bot-spreading-dixon-rumorsåÊ‰Û_https://www.pressboxdfw.com/as-frogs-prepare-dixon-rumors-spreading-again/åÊ‰Û_",3,0,6,4/2/2019 7:34
"MY DREAM SCHOOL! This still doesn‰Ûªt feel real! I‰Ûªm beyond blessed and thankful‰ÛÓThank you God! After many sleepless nights, hardwork, and dedication comes success. I‰Ûªm the first in my family to attend a university! @UCLA @UCLAAdmission #UCLA #UCLABound pic.twitter.com/TPlmrqxuFf",13,10,210,3/23/2019 0:31
